"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3","1","1u box","","","",""
"3","C4","1","100n","","","",""
"4","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"5","D3, D4","2","1N4148","","","",""
"6","D5","1","LED_GREEN","","","",""
"7","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"8","J2","1","gate_in","","","Tayda","A-2566"
"9","J3, J4","2","gate_out","","","Tayda","A-2566"
"10","Q1","1","BCM847","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","Mouser","771-BCM847DS135"
"11","Q2","1","BSS84","Package_TO_SOT_THT:TO-92_Inline","","Mouser","512-BSS84"
"12","Q3","1","MMBF170","Package_TO_SOT_SMD:SOT-23","","Mouser","863-MMBF170LT1G"
"13","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"14","R3, R6, R7, R12, R13, R15, R16","7","1K","","","",""
"15","R4, R5","2","22K","","","",""
"16","R8, R9, R14","3","10K","","","",""
"17","R10","1","24K","","","",""
"18","R11","1","47K","","","",""
"19","RV1","1","A1M","","","",""
"20","U1","1","TL072","","","Mouser","771-BCM847DS135"
